Myanmar , 1, 47, 1, 1
United States of America , 2, 3, 12, 6
New Zealand , 3, 22, 6, 4
Canada , 4, 14, 10, 5
Australia , 5, 21, 7, 12
United Kingdom , 6, 25, 4, 28
Netherlands , 7, 41, 5, 18
Sri Lanka , 8, 33, 16, 2
Ireland , 9, 37, 8, 11
Malaysia , 10, 27, 17, 17
Kenya , 11, 6, 45, 8
Malta , 12, 73, 3, 46
Bahrain , 13, 11, 27, 35
United Arab Emirates , 14, 15, 15, 60
Norway , 15, 45, 14, 32
Guatemala , 16, 17, 48, 10
Bhutan , 17, 58, 22, 13
Kyrgyzstan , 18, 60, 19, 19
Thailand , 19, 90, 2, 98
Germany , 20, 30, 30, 30
Jamaica , 21, 5, 74, 14
Indonesia , 22, 123, 9, 15
Austria , 23, 46, 25, 31
Kuwait , 24, 7, 31, 92
Liberia , 25, 2, 123, 3
Hong Kong , 26, 43, 11, 90
Uzbekistan , 27, 38, 62, 7
Sweden , 28, 51, 13, 84
Puerto Rico , 29, 20, 44, 49
Northern Cyprus , 30, 32, 38, 45
Finland , 31, 36, 43, 34
Iran , 32, 69, 23, 55
Luxembourg , 33, 108, 21, 22
Singapore , 34, 89, 18, 42
Taiwan , 35, 40, 29, 69
Costa Rica , 36, 19, 56, 39
Slovenia , 37, 71, 40, 21
Iraq , 38, 1, 69, 79
Denmark , 39, 61, 26, 62
Switzerland , 40, 64, 32, 43
Dominican Republic , 41, 28, 66, 20
Cyprus , 42, 42, 39, 52
Nigeria , 43, 16, 79, 29
Malawi , 44, 8, 102, 26
Mauritius , 45, 106, 28, 24
Philippines , 46, 49, 82, 9
Saudi Arabia , 47, 9, 59, 89
Belgium , 48, 53, 42, 50
Chile , 49, 82, 20, 88
South Africa , 50, 10, 101, 38
Zambia , 51, 13, 98, 37
Mongolia , 52, 103, 37, 23
Panama , 53, 76, 50, 33
Sierra Leone , 54, 12, 95, 53
Botswana , 55, 23, 91, 48
Kazakhstan , 56, 68, 51, 51
Uganda , 57, 18, 105, 54
Spain , 58, 52, 52, 71
Haiti , 59, 101, 36, 56
Honduras , 60, 70, 79, 27
Namibia , 61, 4, 128, 64
Croatia , 62, 93, 33, 81
Ghana , 63, 44, 89, 40
Republic of Korea , 64, 74, 55, 63
Bolivia , 65, 54, 70, 59
Colombia , 66, 26, 90, 74
Sudan , 67, 24, 112, 58
South Sudan , 68, 35, 100, 57
Nicaragua , 69, 81, 53, 72
Belize , 70, 84, 71, 47
Turkmenistan , 71, 85, 57, 66
Italy , 72, 75, 58, 83
Tajikistan , 73, 97, 99, 16
France , 74, 102, 76, 36
Israel , 75, 139, 34, 68
Nepal , 76, 112, 63, 41
Uruguay , 77, 72, 78, 80
Poland , 78, 67, 65, 100
Vietnam , 79, 57, 81, 95
Guinea , 80, 55, 107, 72
United Republic of Tanzania , 81, 77, 68, 102
Portugal , 82, 66, 85, 91
Albania , 83, 59, 77, 122
Afghanistan , 84, 63, 72, 120
Senegal , 85, 34, 113, 97
The former Yugoslav 
Republic of Macedonia , 86, 86, 54, 127
Zimbabwe , 87, 49, 121, 67
Bosnia and Herzegovina , 88, 140, 24, 131
Ukraine , 89, 122, 47, 103
Mexico , 90, 88, 88, 78
Congo , 91, 31, 126, 96
Cameroon , 92, 39, 116, 106
Romania , 93, 56, 84, 137
Pakistan , 94, 121, 49, 107
Bangladesh , 95, 29, 125, 118
Lebanon , 96, 91, 60, 129
Ethiopia , 97, 87, 86, 101
Montenegro , 98, 134, 41, 134
Estonia , 99, 104, 92, 77
Cambodia , 100, 141, 35, 126
Madagascar , 101, 132, 120, 25
Japan , 102, 137, 83, 44
Belarus , 103, 126, 73, 86
Burkina Faso , 104, 79, 109, 110
Brazil , 105, 99, 97, 99
India , 106, 116, 96, 82
Cote d'Ivoire , 107, 62, 114, 130
Argentina , 108, 92, 104, 105
Mauritania , 109, 127, 103, 61
Latvia , 110, 128, 61, 125
Gabon , 111, 65, 122, 119
Egypt , 112, 80, 111, 135
Georgia , 112, 96, 140, 65
Peru , 114, 109, 110, 87
Bulgaria , 115, 111, 75, 143
Kosovo , 116, 136, 67, 107
El Salvador , 117, 94, 137, 76
Jordan , 118, 83, 106, 142
Serbia , 118, 143, 46, 138
Republic of Moldova , 120, 120, 108, 94
Mali , 121, 78, 117, 140
Azerbaijan , 122, 117, 127, 70
Slovakia , 123, 131, 87, 113
Hungary , 124, 124, 93, 114
Paraguay , 125, 142, 64, 116
Morocco , 126, 48, 145, 141
Democratic Republic 
of the Congo , 127, 125, 119, 93
Venezuela , 128, 105, 124, 111
Russian Federation , 129, 130, 133, 75
Czech Republic , 130, 138, 94, 104
Ecuador , 131, 119, 118, 115
Benin , 132, 113, 130, 112
Togo , 133, 95, 141, 124
Angola , 134, 135, 129, 85
Niger , 135, 107, 135, 123
Chad , 136, 114, 132, 121
Rwanda , 137, 133, 115, 109
Armenia , 138, 98, 138, 136
Tunisia , 139, 100, 142, 139
Greece , 140, 110, 139, 132
Palestinian Territory , 141, 118, 134, 133
Lithuania , 142, 129, 131, 128
Yemen , 143, 115, 144, 145
China , 144, 144, 136, 144
Burundi , 145, 145, 143, 117
